,Sample Num,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,temp
84,2442.0,0.09,-0.07,-0.39,-51.18,48.14,83.76,29.71
85,2443.0,0.09,0.04,-0.49,-25.69,24.96,95.59,29.66
86,2444.0,0.06,0.01,-0.62,17.8,14.26,104.0,29.75
87,2445.0,0.03,-0.1,-0.81,56.37,11.8,133.33,29.71
88,2446.0,-0.12,-0.19,-0.93,63.6,3.69,158.17,29.71
89,2447.0,-0.15,-0.14,-1.05,17.59,16.27,144.38,29.61
90,2448.0,-0.27,-0.18,-1.25,-48.06,50.46,158.17,29.75
91,2449.0,-0.09,-0.09,-1.46,-120.99,78.11,120.4,29.71
92,2450.0,0.13,0.11,-1.8,-179.07,87.3,92.72,29.71
93,2451.0,0.46,0.55,-2.01,-218.55,82.26,42.9,29.66
94,2452.0,0.88,0.73,-2.21,-210.18,51.19,0.11,29.66
95,2453.0,1.02,0.77,-2.49,-241.28,3.76,-46.84,29.71
96,2454.0,1.06,0.26,-2.33,-178.75,-81.28,-46.89,29.71
97,2455.0,0.96,-0.26,-1.74,-87.94,-139.42,-58.49,29.66
98,2456.0,0.55,-0.78,-0.76,-3.66,-177.63,-0.18,29.66
99,2457.0,0.65,-0.64,0.22,32.61,-183.95,-11.88,29.71
100,2458.0,0.39,-0.41,1.23,55.01,-240.05,86.14,29.66
101,2459.0,0.54,-0.31,2.32,105.54,-265.45,171.91,29.66
102,2460.0,0.38,-0.31,2.84,124.23,-180.18,214.9,29.61
103,2461.0,0.45,-0.32,2.96,140.09,-121.04,194.11,29.71
104,2462.0,0.61,-0.61,2.94,88.05,-64.09,95.56,29.8
105,2463.0,0.69,-0.08,2.95,-8.21,-57.94,37.51,29.66
106,2464.0,0.8,0.44,3.03,-79.08,-69.63,-74.73,29.61
107,2465.0,0.75,0.57,3.21,-109.27,-61.27,-108.03,29.71
108,2466.0,0.47,-0.05,3.69,-22.56,-49.04,-35.45,29.57
109,2467.0,0.1,0.16,3.96,-19.76,-3.48,1.24,29.75
110,2468.0,0.16,0.57,3.94,-47.36,33.25,-29.08,29.71
111,2469.0,-0.19,0.46,3.83,-50.2,51.66,-39.07,29.71
112,2470.0,0.21,0.17,3.55,2.09,77.21,-46.38,29.66
113,2471.0,-0.06,0.44,3.39,22.03,67.19,-92.56,29.75
114,2472.0,-0.17,0.46,2.92,-50.0,54.05,-95.45,29.71
115,2473.0,0.03,0.39,2.55,-0.64,65.63,-106.52,29.61
116,2474.0,0.05,0.06,2.17,-10.76,76.46,-110.18,29.66
117,2475.0,0.1,-0.12,1.91,-30.24,64.52,-70.81,29.75
118,2476.0,0.07,0.21,1.87,-60.81,17.3,-43.95,29.61
119,2477.0,0.06,0.51,1.85,-42.35,10.93,-36.96,29.61
120,2478.0,0.07,0.68,1.83,-40.06,28.67,-53.1,29.75
121,2479.0,0.11,0.86,1.8,-56.95,33.6,-40.69,29.75
122,2480.0,0.01,0.86,1.59,-79.65,31.37,-23.57,29.71
123,2481.0,0.06,0.75,1.4,-50.2,40.56,-14.49,29.71
124,2482.0,0.02,0.53,1.25,-33.63,47.8,-30.76,29.57
125,2483.0,0.04,0.27,1.13,-17.25,45.19,-25.21,29.61
126,2484.0,-0.04,0.14,1.02,-24.44,45.28,-1.1,29.61
127,2485.0,-0.04,-0.14,0.96,-40.27,31.88,14.84,29.85
128,2486.0,0.05,-0.09,0.95,-27.1,9.44,10.76,29.66
129,2487.0,0.05,0.1,0.94,-19.83,5.31,6.34,29.71
130,2488.0,0.11,0.28,0.92,-17.6,2.63,0.05,29.8
131,2489.0,0.13,0.39,0.91,-1.04,-8.82,-12.5,29.75
132,2490.0,0.06,0.3,0.93,20.03,-1.97,-12.95,29.66
133,2491.0,0.05,0.16,0.86,24.75,9.88,-15.27,29.61
134,2492.0,0.01,0.12,0.92,10.84,1.19,-14.66,29.71
135,2493.0,-0.01,-0.0,0.93,-4.41,-0.02,-14.63,29.61
136,2494.0,-0.08,-0.11,0.99,-9.98,7.47,-1.95,29.66
137,2495.0,-0.05,-0.09,1.0,-17.74,7.56,0.6,29.71
138,2496.0,-0.11,-0.17,1.05,-13.39,4.96,11.91,29.61
139,2497.0,-0.11,-0.18,1.08,-7.71,6.44,16.15,29.57
140,2498.0,-0.05,-0.11,1.02,-2.18,7.02,13.65,29.66
141,2499.0,-0.01,0.0,0.98,-0.26,2.2,10.0,29.71
142,2500.0,0.02,0.07,0.99,7.07,-2.49,6.56,29.52
143,2501.0,0.04,0.16,1.01,13.37,-4.49,-0.27,29.66
144,2502.0,0.02,0.19,1.04,19.05,-3.91,-3.56,29.61
145,2503.0,0.0,0.2,1.05,16.56,-2.31,-9.36,29.61
146,2504.0,-0.02,0.19,1.04,11.24,-0.23,-14.76,29.66
147,2505.0,0.01,0.11,0.98,5.85,7.54,-19.42,29.66
148,2506.0,-0.0,0.03,0.94,0.85,7.54,-11.53,29.61
149,2507.0,-0.0,-0.02,0.9,-2.79,1.94,-4.21,29.71
150,2508.0,0.01,-0.03,0.89,-5.56,0.82,-1.5,29.71
151,2509.0,0.08,0.04,0.92,-8.0,-2.5,6.98,29.66
152,2510.0,-0.02,0.03,0.94,0.4,-11.19,-1.4,29.61
153,2511.0,-0.03,0.1,0.98,12.44,-9.97,-0.47,29.71
154,2512.0,-0.06,0.08,1.03,21.85,-3.74,-3.01,29.66
155,2513.0,-0.06,0.01,0.98,20.03,1.02,-3.48,29.75
156,2514.0,-0.08,-0.04,0.98,9.44,-3.19,-4.53,29.71
157,2515.0,-0.06,-0.05,0.97,2.2,-8.26,-6.66,29.61
158,2516.0,-0.08,-0.03,0.97,1.33,-7.02,-0.29,29.75
159,2517.0,-0.08,-0.04,0.96,0.03,-4.96,-0.35,29.57
160,2518.0,-0.09,0.01,1.01,-5.01,-7.74,1.13,29.61
161,2519.0,-0.07,0.09,1.02,-11.92,-4.92,-0.69,29.71
162,2520.0,-0.03,0.14,0.99,-9.89,0.14,1.22,29.66
163,2521.0,-0.02,0.15,1.01,-3.39,1.39,-4.32,29.66
164,2522.0,-0.02,0.12,1.0,2.95,2.49,-10.84,29.71
165,2523.0,-0.04,0.07,0.97,4.44,7.31,-8.93,29.71
166,2524.0,-0.04,0.0,0.95,-0.55,8.67,-8.79,29.61
167,2525.0,-0.06,0.01,0.95,-1.56,0.7,-2.32,29.66
168,2526.0,-0.04,-0.05,0.93,5.16,-1.19,4.17,29.71
169,2527.0,-0.06,-0.04,0.95,7.91,-0.41,9.94,29.61
170,2528.0,-0.07,-0.02,0.98,6.24,-2.14,11.77,29.66
171,2529.0,-0.05,0.06,1.0,1.66,0.38,9.31,29.75
172,2530.0,-0.04,0.04,0.98,4.55,5.95,8.35,29.71
173,2531.0,-0.03,0.03,0.98,6.84,4.92,7.05,29.66
174,2532.0,-0.02,0.05,0.98,9.91,0.66,7.77,29.66
175,2533.0,-0.06,0.06,0.98,1.31,2.72,1.85,29.61
176,2534.0,-0.04,0.04,0.98,-7.4,5.08,-2.38,29.61
177,2535.0,-0.07,0.05,1.0,-12.63,2.78,-5.05,29.66
178,2536.0,-0.05,0.04,0.97,-10.72,4.79,-8.11,29.66
179,2537.0,-0.03,0.02,0.96,-0.69,8.56,-7.08,29.71
180,2538.0,-0.03,0.03,0.97,-0.23,5.98,-7.28,29.71
181,2539.0,-0.04,0.03,0.97,5.68,3.76,-0.35,29.71
182,2540.0,-0.05,0.01,0.96,8.35,7.47,0.89,29.57
183,2541.0,-0.03,0.02,0.95,8.61,8.06,3.6,29.71
184,2542.0,-0.01,-0.01,0.93,6.35,5.1,6.02,29.71
185,2543.0,0.0,0.01,0.91,2.95,0.7,8.52,29.66
186,2544.0,0.01,0.01,0.93,6.75,-2.98,11.05,29.66
187,2545.0,0.0,0.04,0.96,6.81,-3.53,5.97,29.61
188,2546.0,-0.01,0.06,0.98,3.6,-2.06,2.85,29.61
189,2547.0,-0.01,0.09,1.0,-4.14,0.17,-3.39,29.66
190,2548.0,0.0,0.09,1.0,-5.94,0.08,-5.51,29.66
191,2549.0,-0.01,0.07,1.01,0.03,0.6,-4.81,29.71
192,2550.0,-0.02,0.03,1.0,4.87,2.14,-0.38,29.71
193,2551.0,-0.02,-0.0,0.98,1.63,4.5,-0.37,29.66
194,2552.0,-0.03,-0.01,0.95,-4.52,2.6,0.26,29.66
195,2553.0,0.0,-0.01,0.96,-7.24,0.41,-0.11,29.71
196,2554.0,-0.01,0.03,0.97,-5.74,-0.75,1.77,29.71
197,2555.0,0.01,0.11,0.98,-3.28,-0.6,2.56,29.75
198,2556.0,0.01,0.09,0.96,3.66,1.77,5.02,29.66
199,2557.0,0.01,0.08,0.97,5.86,2.24,0.18,29.61
200,2558.0,0.0,0.1,0.95,4.26,0.21,1.08,29.71
201,2559.0,-0.01,0.05,0.95,2.35,2.41,0.52,29.57
202,2560.0,-0.0,0.02,0.93,-3.6,2.67,-0.63,29.61
203,2561.0,-0.01,0.03,0.94,-10.79,-0.44,-1.97,29.61
204,2562.0,-0.01,0.03,0.94,-14.26,-2.6,-2.03,29.75
205,2563.0,-0.03,0.02,0.98,-9.83,-3.79,2.38,29.66
206,2564.0,-0.05,0.06,1.04,0.2,-2.79,5.54,29.61
207,2565.0,-0.05,0.06,1.02,4.44,4.73,2.14,29.61
208,2566.0,-0.02,0.05,0.98,-0.76,7.89,-3.24,29.66
209,2567.0,-0.02,0.01,0.95,-5.76,2.34,-6.7,29.57
210,2568.0,-0.02,-0.01,0.91,-5.79,-0.14,-2.96,29.71
211,2569.0,-0.03,-0.03,0.91,-1.5,-1.1,3.3,29.61
212,2570.0,-0.04,0.0,0.94,2.29,-6.41,9.08,29.61
213,2571.0,-0.06,0.03,0.98,5.83,-8.9,14.31,29.66
214,2572.0,-0.04,0.09,0.99,6.87,-4.46,14.58,29.61
215,2573.0,-0.04,0.11,1.0,8.49,-2.75,11.86,29.71
216,2574.0,-0.05,0.1,1.0,3.88,0.55,4.7,29.57
217,2575.0,-0.05,0.07,0.99,-2.03,4.0,0.55,29.66
218,2576.0,-0.04,0.06,0.96,-5.54,3.15,0.14,29.61
219,2577.0,-0.04,0.07,0.95,-0.61,-1.59,2.61,29.71
220,2578.0,-0.04,0.05,0.97,7.47,-2.52,4.03,29.66
221,2579.0,-0.06,0.05,0.99,5.95,-1.08,2.27,29.57
222,2580.0,-0.06,0.09,1.01,-0.53,0.02,0.6,29.71
223,2581.0,-0.04,0.09,1.0,-2.7,2.44,-0.92,29.66
224,2582.0,-0.03,0.06,0.98,0.6,5.74,-0.64,29.66
225,2583.0,-0.04,0.05,0.98,1.89,5.51,-0.47,29.61
226,2584.0,-0.04,0.05,0.96,0.18,5.01,1.92,29.61
227,2585.0,-0.03,0.03,0.96,-1.13,6.38,0.4,29.61
