,Sample Num,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,temp
110,2933.0,0.8,-0.63,0.15,58.99,33.91,213.24,28.91
111,2934.0,1.36,-0.81,0.19,71.79,64.63,199.98,28.91
112,2935.0,1.79,-1.0,0.06,26.41,81.77,177.98,28.95
113,2936.0,1.77,-1.23,0.01,-51.33,15.62,157.34,28.86
114,2937.0,1.98,-0.67,0.25,-57.45,-46.06,188.49,28.91
115,2938.0,2.16,-0.28,0.35,-65.88,-15.63,156.76,28.81
116,2939.0,2.32,-0.08,0.4,-40.06,-8.47,134.26,28.86
117,2940.0,2.4,-0.16,0.47,43.27,-36.72,107.6,28.86
118,2941.0,2.28,-0.39,0.48,92.7,-51.82,89.63,28.86
119,2942.0,2.09,-0.63,0.69,124.02,-49.45,99.63,28.91
120,2943.0,1.9,-0.59,1.04,91.08,-26.63,96.99,28.81
121,2944.0,1.81,-0.33,1.28,13.98,8.03,89.08,28.95
122,2945.0,1.62,-0.13,1.3,-80.58,27.4,76.5,28.77
123,2946.0,1.52,0.23,1.33,-135.25,38.44,56.03,28.81
124,2947.0,1.4,0.39,1.17,-136.53,44.61,18.53,28.81
125,2948.0,1.2,0.52,1.02,-78.92,26.06,22.46,28.95
126,2949.0,1.14,0.43,0.92,-3.21,11.21,14.46,28.86
127,2950.0,0.98,0.24,0.76,66.63,4.61,21.86,28.81
128,2951.0,0.72,-0.01,0.84,157.91,-70.81,31.1,28.81
129,2952.0,0.65,-0.05,0.89,221.95,-58.11,43.08,28.86
130,2953.0,0.45,-0.09,1.11,202.06,-31.54,28.6,28.86
131,2954.0,0.4,-0.07,1.25,135.25,-17.34,6.38,28.77
132,2955.0,0.36,-0.1,1.29,46.81,-8.87,6.92,28.81
133,2956.0,0.41,-0.14,1.28,-12.85,-0.93,6.14,28.81
134,2957.0,0.38,-0.13,1.17,-35.1,10.61,-1.73,28.77
135,2958.0,0.34,-0.14,1.09,-33.25,20.11,-5.21,28.77
136,2959.0,0.31,-0.1,1.03,-33.77,27.91,-7.21,28.86
137,2960.0,0.31,-0.14,0.95,-47.08,29.24,-6.52,28.91
138,2961.0,0.32,-0.1,0.91,-64.84,28.66,-8.29,28.77
139,2962.0,0.32,-0.06,0.88,-82.43,27.76,-11.79,28.86
140,2963.0,0.3,-0.01,0.86,-84.11,25.15,-10.53,28.91
141,2964.0,0.32,0.04,0.82,-61.95,18.6,-6.56,28.91
142,2965.0,0.34,0.05,0.81,-28.06,12.0,-2.7,28.86
